input,sector,region,value
"Agriculture, Forestry and Fishing (Section A)","Agriculture, Forestry and Fishing (Section A)",EU,50361.43423
"Agriculture, Forestry and Fishing (Section A)",Mining & Quarrying (Section B),EU,835.4528985
"Agriculture, Forestry and Fishing (Section A)","Food Products, Beverages and Tobacco Products (Section CA)",EU,35986.24379
"Agriculture, Forestry and Fishing (Section A)","Textiles, Wearing Apparel and Leather (Section CB)",EU,807.8137783
"Agriculture, Forestry and Fishing (Section A)","Wood and Paper Products, and Printing (Section CC)",EU,1935.954662
"Agriculture, Forestry and Fishing (Section A)","Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",EU,24019.54036
"Agriculture, Forestry and Fishing (Section A)",Basic Pharmaceuticals and Their Products (Section CF),EU,1879.655545
"Agriculture, Forestry and Fishing (Section A)","Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",EU,2725.585521
"Agriculture, Forestry and Fishing (Section A)","Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",EU,2328.9763
"Agriculture, Forestry and Fishing (Section A)","Computer, Electronic and Optical Products (Section CI)",EU,538.2403166
"Agriculture, Forestry and Fishing (Section A)",Electrical Equipment (Section CJ),EU,583.1428254
"Agriculture, Forestry and Fishing (Section A)",Machinery and Equipment N.E.C. (Section CK),EU,2584.19294
"Agriculture, Forestry and Fishing (Section A)",Transport Equipment (Section CL),EU,1155.284484
"Agriculture, Forestry and Fishing (Section A)","Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",EU,5328.055621
"Agriculture, Forestry and Fishing (Section A)","Utilities (Section D,E)",EU,8085.714697
"Agriculture, Forestry and Fishing (Section A)",Construction (Section F),EU,3183.361963
"Agriculture, Forestry and Fishing (Section A)","Wholesale, Retail and Repairs (Section G)",EU,24762.15363
"Agriculture, Forestry and Fishing (Section A)",Transportation and Storage (Section H),EU,5163.316579
"Agriculture, Forestry and Fishing (Section A)",Accommodation and Food Services (Section I),EU,312.3908564
"Agriculture, Forestry and Fishing (Section A)",Information and Communication (Section J),EU,2108.856841
"Agriculture, Forestry and Fishing (Section A)",Financial and Insurance (Section K),EU,7390.832082
"Agriculture, Forestry and Fishing (Section A)",Real Estate Activities (Section L),EU,990.5894628
"Agriculture, Forestry and Fishing (Section A)","Professional, Scientific & Technical (Section M)",EU,6674.346716
"Agriculture, Forestry and Fishing (Section A)",Administrative and Support Services (Section N),EU,7024.708099
"Agriculture, Forestry and Fishing (Section A)",Public administration and defence; compulsory social security (Section O),EU,995.9706765
"Agriculture, Forestry and Fishing (Section A)",Education (Section P),EU,336.4546233
"Agriculture, Forestry and Fishing (Section A)",Other Services (Section (Q-U),EU,1277.992933
Mining & Quarrying (Section B),"Agriculture, Forestry and Fishing (Section A)",EU,125.7913931
Mining & Quarrying (Section B),Mining & Quarrying (Section B),EU,3471.617141
Mining & Quarrying (Section B),"Food Products, Beverages and Tobacco Products (Section CA)",EU,168.7196059
Mining & Quarrying (Section B),"Textiles, Wearing Apparel and Leather (Section CB)",EU,89.20870262
Mining & Quarrying (Section B),"Wood and Paper Products, and Printing (Section CC)",EU,432.8991419
Mining & Quarrying (Section B),"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",EU,2609.299619
Mining & Quarrying (Section B),Basic Pharmaceuticals and Their Products (Section CF),EU,58.71114764
Mining & Quarrying (Section B),"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",EU,927.1544653
Mining & Quarrying (Section B),"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",EU,1705.393387
Mining & Quarrying (Section B),"Computer, Electronic and Optical Products (Section CI)",EU,164.463061
Mining & Quarrying (Section B),Electrical Equipment (Section CJ),EU,260.6943128
Mining & Quarrying (Section B),Machinery and Equipment N.E.C. (Section CK),EU,1258.854703
Mining & Quarrying (Section B),Transport Equipment (Section CL),EU,376.3058197
Mining & Quarrying (Section B),"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",EU,1279.385459
Mining & Quarrying (Section B),"Utilities (Section D,E)",EU,4274.684778
Mining & Quarrying (Section B),Construction (Section F),EU,1029.7273
Mining & Quarrying (Section B),"Wholesale, Retail and Repairs (Section G)",EU,2892.088252
Mining & Quarrying (Section B),Transportation and Storage (Section H),EU,3961.865492
Mining & Quarrying (Section B),Accommodation and Food Services (Section I),EU,218.9666072
Mining & Quarrying (Section B),Information and Communication (Section J),EU,730.1445632
Mining & Quarrying (Section B),Financial and Insurance (Section K),EU,1264.528069
Mining & Quarrying (Section B),Real Estate Activities (Section L),EU,374.5504676
Mining & Quarrying (Section B),"Professional, Scientific & Technical (Section M)",EU,2718.544977
Mining & Quarrying (Section B),Administrative and Support Services (Section N),EU,2187.589916
Mining & Quarrying (Section B),Public administration and defence; compulsory social security (Section O),EU,407.5062366
Mining & Quarrying (Section B),Education (Section P),EU,109.1825117
Mining & Quarrying (Section B),Other Services (Section (Q-U),EU,282.996667
"Food Products, Beverages and Tobacco Products (Section CA)","Agriculture, Forestry and Fishing (Section A)",EU,167448.1383
"Food Products, Beverages and Tobacco Products (Section CA)",Mining & Quarrying (Section B),EU,2028.438329
"Food Products, Beverages and Tobacco Products (Section CA)","Food Products, Beverages and Tobacco Products (Section CA)",EU,157848.5621
"Food Products, Beverages and Tobacco Products (Section CA)","Textiles, Wearing Apparel and Leather (Section CB)",EU,1112.086488
"Food Products, Beverages and Tobacco Products (Section CA)","Wood and Paper Products, and Printing (Section CC)",EU,12693.91449
"Food Products, Beverages and Tobacco Products (Section CA)","Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",EU,11100.68913
"Food Products, Beverages and Tobacco Products (Section CA)",Basic Pharmaceuticals and Their Products (Section CF),EU,1673.447181
"Food Products, Beverages and Tobacco Products (Section CA)","Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",EU,13550.85231
"Food Products, Beverages and Tobacco Products (Section CA)","Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",EU,6616.09457
"Food Products, Beverages and Tobacco Products (Section CA)","Computer, Electronic and Optical Products (Section CI)",EU,1204.550559
"Food Products, Beverages and Tobacco Products (Section CA)",Electrical Equipment (Section CJ),EU,1276.235937
"Food Products, Beverages and Tobacco Products (Section CA)",Machinery and Equipment N.E.C. (Section CK),EU,3520.89486
"Food Products, Beverages and Tobacco Products (Section CA)",Transport Equipment (Section CL),EU,1447.541802
"Food Products, Beverages and Tobacco Products (Section CA)","Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",EU,3743.562009
"Food Products, Beverages and Tobacco Products (Section CA)","Utilities (Section D,E)",EU,17584.35633
"Food Products, Beverages and Tobacco Products (Section CA)",Construction (Section F),EU,3819.21132
"Food Products, Beverages and Tobacco Products (Section CA)","Wholesale, Retail and Repairs (Section G)",EU,69562.91373
