sector,region,value
"Agriculture, Forestry and Fishing (Section A)",EU,153081.5889
Mining & Quarrying (Section B),EU,47180.34758
"Food Products, Beverages and Tobacco Products (Section CA)",EU,183519.6922
"Textiles, Wearing Apparel and Leather (Section CB)",EU,50000.51143
"Wood and Paper Products, and Printing (Section CC)",EU,83083.19123
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",EU,118249.2624
Basic Pharmaceuticals and Their Products (Section CF),EU,73045.01997
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",EU,116797.067
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",EU,182153.6967
"Computer, Electronic and Optical Products (Section CI)",EU,74717.85915
Electrical Equipment (Section CJ),EU,73375.64019
Machinery and Equipment N.E.C. (Section CK),EU,164755.2052
Transport Equipment (Section CL),EU,183512.2751
"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",EU,123275.6183
"Utilities (Section D,E)",EU,249438.5359
Construction (Section F),EU,447311.6609
"Wholesale, Retail and Repairs (Section G)",EU,947292.6902
Transportation and Storage (Section H),EU,450264.1958
Accommodation and Food Services (Section I),EU,243858.5848
Information and Communication (Section J),EU,394861.4924
Financial and Insurance (Section K),EU,437195.6939
Real Estate Activities (Section L),EU,951848.4255
"Professional, Scientific & Technical (Section M)",EU,535569.2172
Administrative and Support Services (Section N),EU,351116.9799
Public administration and defence; compulsory social security (Section O),EU,594835.2978
Education (Section P),EU,441937.7623
Other Services (Section (Q-U),EU,958403.8034
"Agriculture, Forestry and Fishing (Section A)",NEU,1847411.905
Mining & Quarrying (Section B),NEU,1965835.563
"Food Products, Beverages and Tobacco Products (Section CA)",NEU,827239.4891
"Textiles, Wearing Apparel and Leather (Section CB)",NEU,351350.1418
"Wood and Paper Products, and Printing (Section CC)",NEU,344321.9684
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",NEU,817698.0127
Basic Pharmaceuticals and Their Products (Section CF),NEU,195620.3418
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",NEU,500032.0604
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",NEU,741746.2216
"Computer, Electronic and Optical Products (Section CI)",NEU,600953.57
Electrical Equipment (Section CJ),NEU,245381.1124
Machinery and Equipment N.E.C. (Section CK),NEU,457203.8892
Transport Equipment (Section CL),NEU,664675.2204
"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",NEU,228167.3954
"Utilities (Section D,E)",NEU,919502.9143
Construction (Section F),NEU,2022436.724
"Wholesale, Retail and Repairs (Section G)",NEU,4271452.681
Transportation and Storage (Section H),NEU,1584743.396
Accommodation and Food Services (Section I),NEU,820444.8886
Information and Communication (Section J),NEU,1477825.545
Financial and Insurance (Section K),NEU,2137108.023
Real Estate Activities (Section L),NEU,2982938.289
"Professional, Scientific & Technical (Section M)",NEU,1648983.021
Administrative and Support Services (Section N),NEU,951777.3708
Public administration and defence; compulsory social security (Section O),NEU,2817867.406
Education (Section P),NEU,1072836.763
Other Services (Section (Q-U),NEU,2428136.375
"Agriculture, Forestry and Fishing (Section A)",RUK,11629.72611
Mining & Quarrying (Section B),RUK,9227.858163
"Food Products, Beverages and Tobacco Products (Section CA)",RUK,23314.25493
"Textiles, Wearing Apparel and Leather (Section CB)",RUK,5484.204546
"Wood and Paper Products, and Printing (Section CC)",RUK,10512.30825
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",RUK,11198.23207
Basic Pharmaceuticals and Their Products (Section CF),RUK,11793.54255
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",RUK,13431.53208
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",RUK,18539.29447
"Computer, Electronic and Optical Products (Section CI)",RUK,8422.860457
Electrical Equipment (Section CJ),RUK,4792.163198
Machinery and Equipment N.E.C. (Section CK),RUK,10459.95663
Transport Equipment (Section CL),RUK,22207.57593
"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",RUK,14122.67273
"Utilities (Section D,E)",RUK,33697.6143
Construction (Section F),RUK,98767.03716
"Wholesale, Retail and Repairs (Section G)",RUK,158583.0959
Transportation and Storage (Section H),RUK,69392.12915
Accommodation and Food Services (Section I),RUK,45650.10579
Information and Communication (Section J),RUK,96137.72617
Financial and Insurance (Section K),RUK,122777.2144
Real Estate Activities (Section L),RUK,182571.2118
"Professional, Scientific & Technical (Section M)",RUK,116359.2991
Administrative and Support Services (Section N),RUK,73695.36017
Public administration and defence; compulsory social security (Section O),RUK,79626.71845
Education (Section P),RUK,94074.66054
Other Services (Section (Q-U),RUK,194892.4974
"Agriculture, Forestry and Fishing (Section A)",SCO,1610.797765
Mining & Quarrying (Section B),SCO,14247.08737
"Food Products, Beverages and Tobacco Products (Section CA)",SCO,3880.088389
